Valid,at,Lon,Lat,Wind,Winddir,Wind-sea,Swell,Swelldir,Swellperiod,SWH,MWH,Current,SST
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,13-SEP-2024,00,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,00,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,06,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,06,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,06,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,06,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,12,68.00,22.73,16.46,WSW,1.64,0.763,SSW,10.2,1.81,3.44,0.41,27.05
13-SEP-2024,12,22.73,2.000,-99,WSW,-99,-99,SSW,-99,-99,-99,-99,-99
13-SEP-2024,12,74.67,24.00,-99,WSW,-99,-99,SSW,-99,-99,-99,-99,-99
17-SEP-2024,00,68.00,22.73,15.56,WSW,1.76,0.812,SSW,10.1,1.94,3.69,0.32,27.21
17-SEP-2024,18,68.00,22.73,15.56,WSW,1.76,0.812,SSW,10.1,1.94,3.69,0.32,27.21
17-SEP-2024,18,68.00,22.73,15.56,WSW,1.76,0.812,-99,10.1,1.94,3.69,0.32,27.21
17-SEP-2024,18,68.00,22.73,15.56,WSW,1.76,0.812,SSW,10.1,1.94,3.69,0.32,27.21
18-SEP-2024,00,68.00,22.73,15.56,WSW,1.76,0.812,SSW,10.1,1.94,3.69,0.32,27.21
18-SEP-2024,00,74.67,24.00,-99,WSW,-99,-99,SSW,-99,-99,-99,-99,-99
18-SEP-2024,00,74.67,24.00,-99,WSW,-99,-99,SSW,-99,-99,-99,-99,-99
18-SEP-2024,06,74.67,24.00,-99,WSW,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,06,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,06,74.67,24.00,-99,WSW,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,06,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,06,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,12,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,18,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18-SEP-2024,18,74.67,24.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,18,-99,-99,-99,-99,-99,-99,-99,-99,-99,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
24.00,18,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,SSW,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
74.67,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,WSW,-99,,
81.33,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
74.67,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
74.67,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
74.67,24,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
74.67,24,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,WSW,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,SSW,,
81.33,22,-99,-99,-99,,-99,-99,,-99,-99,-99,,
-99,-9,,,,,,,,,,,,
-99,SS,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
-99,-9,,,,,,,,,,,,
